"Wavelength, µm","n","k"
9.128,9.263,60.73
9.259,9.502,61.52
9.393,9.749,62.33
9.531,10.01,63.16
9.673,10.27,64.01
9.82,10.55,64.89
9.971,10.84,65.78
10.13,11.14,66.71
10.29,11.45,67.65
10.45,11.77,68.63
10.63,12.11,69.63
10.8,12.46,70.65
10.99,12.83,71.71
11.17,13.21,72.8
11.37,13.61,73.91
11.57,14.02,75.07
11.78,14.46,76.25
12,14.91,77.47
12.23,15.38,78.73
12.46,15.88,80.03
12.71,16.4,81.37
12.96,16.94,82.76
13.23,17.51,84.18
13.5,18.1,85.66
13.79,18.72,87.18
14.09,19.38,88.76
14.4,20.06,90.39
14.73,20.78,92.08
15.07,21.54,93.83
15.43,22.33,95.64
15.81,23.17,97.52
16.2,24.04,99.47
16.62,24.97,101.5
17.06,25.94,103.6
17.52,26.97,105.8
18,28.05,108.1
18.52,29.19,110.4
19.06,30.39,112.9
19.64,31.66,115.5
20.25,33,118.2
20.91,34.41,121
21.6,35.91,124
22.35,37.49,127.1
23.15,39.16,130.4
24,40.92,133.9
24.93,42.79,137.5
